settlement,region_kingdom,capital,settlement_population,settlement_economy,rumored_treasure_value,demographic_breakdown,average_age,most_likely_cause_of_death,government_type,class_density,tax_rate,exports,imports,ruler,military,magic_academy,languages,religions,region_population,region_economy,area,average_temperature,annual_rainfall,magical_climate,dragon_sightings,sources,canon_status,source_confidence,hidden_economy,trade_balance,risk_index,geo_lat,geo_lon
Baldurs Gate Settlement 0001,Baldurs Gate,Baldur's Gate,2127,9473782,571812,"{'humans': 1610, 'elves': 223, 'dwarves': 69, 'halflings': 132, 'half-orcs': 42, 'misc.': 51}",138,war,['Theocracy'],"{'poor': 0.4995, 'middle': 0.3353, 'wealthy': 0.0975, 'aristocrat': 0.0676}",0,"[['books', 'horses', 'salt', 'wine']]","[['coal', 'magic items', 'parchment', 'silk']]",Ruler BAL-278,small militia,guilds,"Common, Draconic, Halfling","Torm, Tyr",261869,1312711673,123.44,52.0,46.6,3,0,synthetic generator v2,synthetic,0.76,9968460,0,10.5,35.2309,-11.06958
Tethyr Settlement 0002,Tethyr,Darromar,475,3326927,41171,"{'humans': 427, 'elves': 21, 'dwarves': 25, 'halflings': 11, 'half-orcs': 9, 'misc.': 0}",153,war,['Merchant Council'],"{'poor': 0.498, 'middle': 0.2584, 'wealthy': 0.0892, 'aristocrat': 0.1544}",0,"[['armor', 'books', 'horses', 'weapons']]","[['glass', 'jewelry', 'ore', 'parchment']]",Ruler TET-108,mercenary heavy,guilds,"Halfling, Orc","Mystra, Tempus, Torm",306344,1288038783,311.3,70.0,60.7,1,0,synthetic generator v2,derived,0.38,4412387,0,3.5,-38.21484,-33.25989
Neverwinter Settlement 0003,Neverwinter,Neverwinter,1138,11429237,320368,"{'humans': 784, 'elves': 24, 'dwarves': 39, 'halflings': 82, 'half-orcs': 66, 'misc.': 143}",178,disease,['Democracy'],"{'poor': 0.4566, 'middle': 0.2202, 'wealthy': 0.0652, 'aristocrat': 0.2579}",15,"[['armor', 'timber', 'weapons', 'wine']]","[['coal', 'mercenaries', 'parchment', 'silk', 'spices']]",Ruler NEV-231,naval patrol,arcanum,"Common, Draconic, Elvish",Tyr,172720,723835434,234.53,54.1,48.6,10,0,synthetic generator v2,derived,0.89,15475676,-1,47.0,5.21627,93.18208
Waterdeep Settlement 0004,Waterdeep,Waterdeep,831,5348232,167508,"{'humans': 656, 'elves': 57, 'dwarves': 56, 'halflings': 24, 'half-orcs': 42, 'misc.': 0}",175,old age,['Patriarchy'],"{'poor': 0.475, 'middle': 0.3102, 'wealthy': 0.0788, 'aristocrat': 0.1359}",1,"[['cloth', 'salt']]","[['glass', 'jewelry', 'magic items', 'silk']]",Ruler WAT-206,naval patrol,local academy,"Elvish, Orc","Selune, Torm, Tyr",190388,767901516,514.21,54.3,50.1,9,0,synthetic generator v2,synthetic,0.84,7397208,-2,32.3,-5.3176,-80.58658
Neverwinter Settlement 0005,Neverwinter,Neverwinter,105,695648,37396,"{'humans': 87, 'elves': 10, 'dwarves': 3, 'halflings': 2, 'half-orcs': 5, 'misc.': 0}",72,famine,['Magocracy'],"{'poor': 0.5343, 'middle': 0.2279, 'wealthy': 0.0945, 'aristocrat': 0.1433}",5,"[['armor', 'fish', 'grain', 'weapons']]",[['coal']],Ruler NEV-423,mercenary heavy,arcanum,"Draconic, Dwarvish, Elvish",Selune,172720,723835434,19.74,47.8,41.1,8,0,synthetic generator v2,synthetic,0.9,687543,3,32.0,22.51506,-33.87373
Tethyr Settlement 0006,Tethyr,Darromar,7287,14449119,821254,"{'humans': 5101, 'elves': 599, 'dwarves': 303, 'halflings': 406, 'half-orcs': 355, 'misc.': 523}",68,arcane mishap,['Confederacy'],"{'poor': 0.628, 'middle': 0.3205, 'wealthy': 0.0465, 'aristocrat': 0.005}",0,"[['armor', 'cloth', 'horses', 'weapons']]","[['jewelry', 'magic items', 'mercenaries', 'parchment', 'spices']]",Ruler TET-765,professional guard,arcanum,"Dwarvish, Elvish, Halfling",Tyr,306344,1288038783,538.19,61.4,45.9,3,0,synthetic generator v2,synthetic,0.84,14296454,-1,10.5,40.03776,-25.58391
Sembia Settlement 0007,Sembia,Selgaunt,627,4928323,331234,"{'humans': 520, 'elves': 16, 'dwarves': 33, 'halflings': 34, 'half-orcs': 22, 'misc.': 2}",89,arcane mishap,['Merchant Council'],"{'poor': 0.4556, 'middle': 0.273, 'wealthy': 0.0921, 'aristocrat': 0.1793}",19,"[['armor', 'gems', 'grain', 'salt', 'wine']]","[['jewelry', 'mercenaries', 'ore', 'spices']]",Ruler SEM-306,naval patrol,local academy,Common,"Chauntea, Mystra",210662,818271539,121.53,54.3,31.3,7,0,synthetic generator v2,synthetic,0.93,4152755,1,39.7,74.13995,107.9166
Baldurs Gate Settlement 0008,Baldurs Gate,Baldur's Gate,7769,15116469,87971,"{'humans': 6544, 'elves': 258, 'dwarves': 712, 'halflings': 627, 'half-orcs': 381, 'misc.': 0}",40,old age,['Merchant Council'],"{'poor': 0.5964, 'middle': 0.369, 'wealthy': 0.0298, 'aristocrat': 0.0049}",3,[['horses']],[['glass']],Ruler BAL-883,small militia,None,Orc,"Lathander, Tempus",261869,1312711673,523.69,63.8,66.9,3,0,synthetic generator v2,synthetic,0.95,15444462,0,12.9,-32.39573,98.28173
Sembia Settlement 0009,Sembia,Selgaunt,4035,20708541,1142462,"{'humans': 3137, 'elves': 246, 'dwarves': 168, 'halflings': 187, 'half-orcs': 201, 'misc.': 96}",175,crime,['Satrapy'],"{'poor': 0.5092, 'middle': 0.3545, 'wealthy': 0.0317, 'aristocrat': 0.1046}",0,"[['armor', 'horses']]","[['coal', 'magic items', 'ore']]",Ruler SEM-195,small militia,local academy,"Common, Elvish, Halfling","Lathander, Selune, Tyr",210662,818271539,245.52,61.1,57.1,5,0,synthetic generator v2,synthetic,0.56,15850207,-1,17.5,-37.48853,-111.67392
Baldurs Gate Settlement 0010,Baldurs Gate,Baldur's Gate,1882,9685781,185693,"{'humans': 1480, 'elves': 134, 'dwarves': 63, 'halflings': 55, 'half-orcs': 32, 'misc.': 118}",111,arcane mishap,['Dictatorship'],"{'poor': 0.5249, 'middle': 0.3191, 'wealthy': 0.0545, 'aristocrat': 0.1015}",0,"[['armor', 'grain', 'weapons']]","[['glass', 'magic items', 'mercenaries', 'ore']]",Ruler BAL-444,small militia,None,"Halfling, Orc",Tyr,261869,1312711673,39.9,61.7,61.6,6,0,synthetic generator v2,synthetic,0.56,12686430,-1,21.0,6.29076,21.72344
Tethyr Settlement 0011,Tethyr,Darromar,3095,20916610,557232,"{'humans': 2724, 'elves': 114, 'dwarves': 225, 'halflings': 179, 'half-orcs': 184, 'misc.': 0}",155,crime,['Satrapy'],"{'poor': 0.4923, 'middle': 0.313, 'wealthy': 0.0384, 'aristocrat': 0.1563}",0,"[['books', 'weapons']]","[['jewelry', 'magic items', 'mercenaries', 'parchment']]",Ruler TET-398,mercenary heavy,None,"Common, Halfling, Orc","Chauntea, Selune, Tempus",306344,1288038783,412.0,69.1,49.0,7,0,synthetic generator v2,derived,0.8,26537817,-2,24.5,46.59292,-8.19194
