settlement,region_kingdom,capital,settlement_population,settlement_economy,rumored_treasure_value,demographic_breakdown,average_age,most_likely_cause_of_death,government_type,class_density,tax_rate,exports,imports,ruler,military,magic_academy,languages,religions,region_population,region_economy,area,average_temperature,annual_rainfall,magical_climate,dragon_sightings,sources,canon_status,source_confidence,hidden_economy,trade_balance,risk_index,geo_lat,geo_lon
Amn Settlement 0001,Amn,Athkatla,217,1629063,77005,"{""humans"": 170, ""elves"": 17, ""dwarves"": 12, ""halflings"": 12, ""half-orcs"": 3, ""misc."": 3}",136,old age,"[""Satrapy""]","{""poor"": 0.5332, ""middle"": 0.2792, ""wealthy"": 0.028, ""aristocrat"": 0.1596}",2,"[[""cloth"", ""grain"", ""horses"", ""salt"", ""wine""]]","[[""glass"", ""mercenaries""]]",Ruler AMN-617,professional guard,arcanum,Orc,Selune,135123,611983508,388.79,59.4,75.9,8,0,synthetic generator v3,derived,0.62,1962109,3,29.6,14.97252,-10.20278
Waterdeep Settlement 0002,Waterdeep,Waterdeep,641,3763634,177614,"{""humans"": 503, ""elves"": 50, ""dwarves"": 27, ""halflings"": 18, ""half-orcs"": 41, ""misc."": 2}",91,war,"[""Democracy""]","{""poor"": 0.5662, ""middle"": 0.2874, ""wealthy"": 0.0403, ""aristocrat"": 0.1061}",2,"[[""armor"", ""fish"", ""horses"", ""weapons""]]","[[""coal"", ""glass"", ""mercenaries"", ""ore"", ""spices""]]",Ruler WAT-260,small militia,arcanum,Elvish,Lathander,111501,517924535,428.94,47.0,62.8,10,0,synthetic generator v3,synthetic,0.38,3873199,-1,36.6,46.83193,-26.24122
Amn Settlement 0003,Amn,Athkatla,339,833716,29249,"{""humans"": 262, ""elves"": 11, ""dwarves"": 24, ""halflings"": 26, ""half-orcs"": 15, ""misc."": 1}",35,arcane mishap,"[""Theocracy""]","{""poor"": 0.6176, ""middle"": 0.2991, ""wealthy"": 0.0786, ""aristocrat"": 0.0047}",0,"[[""books"", ""gems"", ""weapons"", ""wine""]]","[[""glass"", ""magic items"", ""parchment"", ""spices""]]",Ruler AMN-15,professional guard,local academy,"Common, Draconic, Orc",Chauntea,135123,611983508,323.65,72.3,56.2,5,0,synthetic generator v3,derived,0.75,824390,0,17.5,10.15874,-36.16
Amn Settlement 0004,Amn,Athkatla,2124,15752973,926151,"{""humans"": 1635, ""elves"": 183, ""dwarves"": 122, ""halflings"": 71, ""half-orcs"": 109, ""misc."": 4}",146,arcane mishap,"[""Satrapy""]","{""poor"": 0.5735, ""middle"": 0.201, ""wealthy"": 0.0755, ""aristocrat"": 0.15}",18,"[[""cloth"", ""horses"", ""timber"", ""weapons""]]","[[""coal"", ""jewelry""]]",Ruler AMN-521,mercenary heavy,arcanum,Halfling,Lathander,135123,611983508,421.01,61.7,69.5,7,1,synthetic generator v3,synthetic,0.48,18768370,2,39.8,16.7978,-33.27529
Waterdeep Settlement 0005,Waterdeep,Waterdeep,827,7072388,13107,"{""humans"": 650, ""elves"": 76, ""dwarves"": 52, ""halflings"": 22, ""half-orcs"": 24, ""misc."": 3}",127,famine,"[""Confederacy""]","{""poor"": 0.4905, ""middle"": 0.2979, ""wealthy"": 0.0313, ""aristocrat"": 0.1803}",3,"[[""gems"", ""grain"", ""timber""]]","[[""glass"", ""ore""]]",Ruler WAT-960,naval patrol,guilds,"Dwarvish, Elvish, Orc","Mystra, Tempus, Tyr",111501,517924535,271.54,52.4,57.3,4,0,synthetic generator v3,synthetic,0.54,8441434,1,16.4,46.1919,-20.14154
Baldurs Gate Settlement 0006,Baldurs Gate,Baldur's Gate,1148,8486484,609198,"{""humans"": 926, ""elves"": 74, ""dwarves"": 43, ""halflings"": 56, ""half-orcs"": 47, ""misc."": 2}",97,disease,"[""Confederacy""]","{""poor"": 0.4854, ""middle"": 0.3103, ""wealthy"": 0.0448, ""aristocrat"": 0.1595}",6,"[[""salt""]]","[[""magic items"", ""silk""]]",Ruler BAL-792,professional guard,arcanum,"Common, Elvish",Tyr,88949,460120908,382.67,63.9,34.6,7,0,synthetic generator v3,synthetic,0.44,9084781,-1,29.3,36.43113,-22.86337
Sembia Settlement 0007,Sembia,Selgaunt,2018,4653335,145072,"{""humans"": 1554, ""elves"": 87, ""dwarves"": 206, ""halflings"": 44, ""half-orcs"": 124, ""misc."": 3}",121,old age,"[""Democracy""]","{""poor"": 0.5578, ""middle"": 0.3707, ""wealthy"": 0.0665, ""aristocrat"": 0.005}",19,"[[""armor"", ""gems"", ""wine""]]","[[""glass"", ""jewelry"", ""mercenaries"", ""silk""]]",Ruler SEM-623,naval patrol,arcanum,"Common, Orc","Selune, Torm",115850,569433233,222.9,60.1,41.9,1,0,synthetic generator v3,derived,0.8,3701763,-1,18.7,33.09148,28.21582
Baldurs Gate Settlement 0008,Baldurs Gate,Baldur's Gate,1125,4207175,137143,"{""humans"": 796, ""elves"": 94, ""dwarves"": 64, ""halflings"": 103, ""half-orcs"": 66, ""misc."": 2}",48,famine,"[""Theocracy""]","{""poor"": 0.6158, ""middle"": 0.2623, ""wealthy"": 0.0727, ""aristocrat"": 0.0492}",15,"[[""armor"", ""gems"", ""grain"", ""weapons"", ""wine""]]","[[""mercenaries"", ""parchment""]]",Ruler BAL-23,naval patrol,None,"Draconic, Halfling, Orc",Lathander,88949,460120908,481.13,63.1,69.7,1,0,synthetic generator v3,synthetic,0.52,4383963,3,15.5,16.36864,-21.05217
Calimshan Settlement 0009,Calimshan,Memnon,1753,3750717,180557,"{""humans"": 1425, ""elves"": 67, ""dwarves"": 96, ""halflings"": 110, ""half-orcs"": 53, ""misc."": 2}",77,crime,"[""Theocracy""]","{""poor"": 0.5846, ""middle"": 0.3795, ""wealthy"": 0.0309, ""aristocrat"": 0.005}",0,"[[""cloth"", ""gems""]]","[[""coal"", ""glass"", ""jewelry"", ""silk"", ""spices""]]",Ruler CAL-252,naval patrol,local academy,Common,"Lathander, Tempus",104596,622107818,462.82,73.4,26.6,2,0,synthetic generator v3,synthetic,0.57,4153792,-3,7.0,20.48111,-52.85089
Sembia Settlement 0010,Sembia,Selgaunt,1599,12994197,455841,"{""humans"": 1250, ""elves"": 134, ""dwarves"": 116, ""halflings"": 40, ""half-orcs"": 56, ""misc."": 3}",92,famine,"[""Confederacy""]","{""poor"": 0.5045, ""middle"": 0.2634, ""wealthy"": 0.0335, ""aristocrat"": 0.1986}",14,"[[""armor"", ""fish"", ""grain"", ""timber""]]","[[""glass"", ""ore""]]",Ruler SEM-145,professional guard,guilds,"Draconic, Elvish",Tyr,115850,569433233,469.04,52.7,62.6,4,0,synthetic generator v3,derived,0.78,14929306,2,25.2,37.21596,44.83393
